,PolicyholderAgeinyears,IncomeofPolicyholderperannum,Planenrolledyear,YearofMaturity,NumberofPremiumspaidinyears,PremiumPaidtilldate,Totaldelayedmonths,Default
1178,55,262550,2019,2034,4,50000,11,0
1179,52,262320,2016,2031,7,87500,11,1
1180,41,262000,2019,2034,4,50000,16,0
1181,71,261840,2010,2025,13,162500,12,1
1182,54,261640,2016,2031,7,87500,13,1
1183,47,261550,2019,2034,4,50000,11,0
1184,57,261320,2021,2036,2,25000,11,0
1185,46,261150,2020,2035,3,37500,11,0
1186,38,261120,2016,2031,7,87500,11,1
1187,34,261110,2019,2034,4,50000,11,0
1188,46,261100,2010,2025,13,162500,11,1
1189,45,261080,2016,2031,7,87500,11,1
1190,78,261060,2019,2034,4,50000,11,0
1191,41,261050,2021,2036,2,25000,11,0
1192,75,261030,2020,2035,3,37500,11,0
1193,50,261030,2016,2031,7,87500,11,1
1194,42,260840,2019,2034,4,50000,11,0
1195,50,260790,2010,2025,13,162500,11,1
1196,54,260760,2016,2031,7,87500,11,1
1197,39,260090,2019,2034,4,50000,12,0
1198,46,260070,2016,2031,7,87500,11,1
1199,35,260020,2019,2034,4,50000,11,0
1200,45,260010,2010,2025,13,162500,11,1
1201,58,260010,2016,2031,7,87500,11,1
1202,59,259530,2019,2034,4,50000,11,0
1203,63,259410,2021,2036,2,25000,11,0
1204,65,258900,2020,2035,3,37500,12,0
1205,55,258830,2016,2031,7,87500,11,1
1206,33,258730,2019,2034,4,50000,12,0
1207,65,258550,2010,2025,13,162500,12,1
1208,60,258440,2016,2031,7,87500,11,1
1209,50,258140,2019,2034,4,50000,11,0
1210,38,258140,2021,2036,2,25000,11,0
1211,52,258110,2020,2035,3,37500,11,0
1212,47,258090,2016,2031,7,87500,12,1
1213,48,258070,2019,2034,4,50000,11,0
1214,34,258070,2010,2025,13,162500,11,1
1215,38,258070,2016,2031,7,87500,11,1
1216,55,258050,2019,2034,4,50000,16,0
1217,68,258040,2016,2031,7,87500,13,1
1218,65,258030,2019,2034,4,50000,11,0
1219,41,257960,2010,2025,13,162500,11,1
1220,62,257810,2016,2031,7,87500,11,1
1221,45,257690,2019,2034,4,50000,11,0
1222,43,257620,2021,2036,2,25000,11,0
1223,40,257620,2020,2035,3,37500,11,0
1224,52,257600,2016,2031,7,87500,11,1
1225,33,257570,2019,2034,4,50000,11,0
1226,70,257540,2010,2025,13,162500,11,1
1227,54,257530,2016,2031,7,87500,12,1
1228,70,257500,2019,2034,4,50000,11,0
1229,62,257480,2021,2036,2,25000,11,0
1230,48,257160,2020,2035,3,37500,11,0
1231,36,256880,2016,2031,7,87500,12,1
1232,79,256040,2019,2034,4,50000,11,0
1233,74,255640,2010,2025,13,162500,11,1
1234,51,255290,2016,2031,7,87500,11,1
1235,53,255150,2019,2034,4,50000,11,0
1236,49,255150,2016,2031,7,87500,11,1
1237,60,255150,2019,2034,4,50000,11,0
1238,35,255140,2010,2025,13,162500,11,1
1239,73,255130,2016,2031,7,87500,11,1
1240,67,255110,2019,2034,4,50000,13,0
1241,65,255100,2010,2025,13,162500,11,1
1242,71,255080,2016,2031,7,87500,12,1
1243,30,255080,2019,2034,4,50000,11,0
1244,35,255070,2016,2031,7,87500,11,1
1245,58,255060,2019,2034,4,50000,11,0
1246,55,255040,2010,2025,13,162500,11,1
1247,74,255030,2016,2031,7,87500,11,1
1248,49,254860,2019,2034,4,50000,11,0
1249,53,254630,2010,2025,13,162500,11,1
1250,47,254610,2016,2031,7,87500,12,1
1251,58,254590,2019,2034,4,50000,11,0
1252,72,254200,2016,2031,7,87500,11,1
1253,82,254200,2019,2034,4,50000,11,0
1254,49,254030,2010,2025,13,162500,11,1
1255,57,253910,2016,2031,7,87500,11,1
1256,69,253890,2019,2034,4,50000,11,0
1257,72,253730,2010,2025,13,162500,11,1
1258,60,253630,2016,2031,7,87500,11,1
1259,39,252640,2019,2034,4,50000,11,0
1260,32,252630,2016,2031,7,87500,11,1
1261,45,252620,2019,2034,4,50000,11,0
1262,39,252510,2010,2025,13,162500,11,1
1263,35,252310,2016,2031,7,87500,11,1
1264,41,252300,2019,2034,4,50000,12,0
1265,39,252190,2010,2025,13,162500,11,1
1266,67,252140,2016,2031,7,87500,12,1
1267,32,252130,2019,2034,4,50000,13,0
1268,51,252130,2016,2031,7,87500,11,1
1269,58,252110,2019,2034,4,50000,13,0
1270,44,252100,2010,2025,13,162500,11,1
1271,71,252100,2016,2031,7,87500,16,1
1272,31,252070,2019,2034,4,50000,12,0
1273,55,252060,2010,2025,13,162500,11,1
1274,54,252040,2016,2031,7,87500,11,1
1275,39,251930,2019,2034,4,50000,11,0
1276,31,251910,2016,2031,7,87500,11,1
1277,37,251600,2019,2034,4,50000,11,0
1278,39,251390,2010,2025,13,162500,13,1
1279,55,250660,2016,2031,7,87500,11,1
1280,51,250600,2019,2034,4,50000,16,0
1281,35,250540,2019,2034,4,50000,11,0
1282,61,250290,2010,2025,13,162500,12,1
1283,59,250160,2016,2031,7,87500,16,1
1284,47,250140,2019,2034,4,50000,16,0
1285,36,250140,2016,2031,7,87500,11,1
1286,46,250140,2019,2034,4,50000,11,0
1287,61,250130,2010,2025,13,162500,12,1
1288,64,250120,2016,2031,7,87500,11,1
1289,54,250120,2019,2034,4,50000,12,0
1290,60,250120,2010,2025,13,162500,11,1
1291,47,250110,2016,2031,7,87500,16,0
1292,50,250110,2019,2034,4,50000,11,0
1293,49,250110,2016,2031,7,87500,11,1
1294,61,250110,2019,2034,4,50000,11,0
1295,73,250100,2010,2025,13,162500,16,1
1296,39,250100,2016,2031,7,87500,12,1
1297,50,250090,2019,2034,4,50000,11,0
1298,44,250090,2019,2034,4,50000,11,0
1299,47,250090,2010,2025,13,162500,11,1
1300,50,250090,2016,2031,7,87500,11,1
1301,34,250070,2019,2034,4,50000,11,0
1302,36,250070,2016,2031,7,87500,11,1
1303,34,250070,2019,2034,4,50000,12,0
1304,31,250060,2010,2025,13,162500,11,1
1305,42,250050,2016,2031,7,87500,11,1
1306,57,250050,2019,2034,4,50000,11,0
1307,32,250040,2010,2025,13,162500,12,1
1308,66,250030,2016,2031,7,87500,11,1
1309,35,250030,2019,2034,4,50000,11,0
1310,35,250030,2016,2031,7,87500,11,1
1311,57,250030,2019,2034,4,50000,11,0
1312,35,250020,2010,2025,13,162500,11,1
1313,51,249990,2016,2031,7,87500,12,1
1314,54,249970,2019,2034,4,50000,11,0
1315,79,249960,2019,2034,4,50000,14,0
1316,54,249760,2010,2025,13,162500,12,1
1317,59,249590,2016,2031,7,87500,12,1
1318,49,249560,2019,2034,4,50000,12,0
1319,53,249250,2016,2031,7,87500,11,1
1320,51,249150,2019,2034,4,50000,11,0
1321,42,249150,2010,2025,13,162500,11,1
1322,42,249140,2016,2031,7,87500,11,1
1323,35,249100,2019,2034,4,50000,16,0
1324,53,249080,2010,2025,13,162500,11,1
1325,49,249070,2016,2031,7,87500,16,1
1326,42,248950,2019,2034,4,50000,9,1
1327,63,248810,2016,2031,7,87500,11,1
1328,38,248800,2019,2034,4,50000,11,0
1329,42,248710,2010,2025,13,162500,11,1
1330,31,248300,2016,2031,7,87500,11,1
1331,61,248270,2019,2034,4,50000,12,0
1332,39,248080,2021,2036,2,25000,11,0
1333,49,248040,2020,2035,3,37500,12,0
1334,31,247830,2016,2031,7,87500,11,1
1335,32,247760,2019,2034,4,50000,12,0
1336,53,247640,2010,2025,13,162500,11,1
1337,41,247620,2016,2031,7,87500,11,1
1338,34,247610,2019,2034,4,50000,11,0
1339,32,247580,2021,2036,2,25000,11,0
1340,88,247540,2020,2035,3,37500,12,0
1341,35,247510,2016,2031,7,87500,11,1
1342,35,247410,2019,2034,4,50000,11,0
1343,38,247390,2010,2025,13,162500,12,1
1344,35,247050,2016,2031,7,87500,12,1
1345,63,246950,2019,2034,4,50000,11,0
1346,81,246810,2016,2031,7,87500,11,1
1347,60,246750,2019,2034,4,50000,11,0
1348,42,246360,2010,2025,13,162500,16,1
1349,35,246350,2016,2031,7,87500,11,1
1350,60,246280,2019,2034,4,50000,11,0
1351,68,246200,2021,2036,2,25000,11,0
1352,51,246140,2020,2035,3,37500,11,0
1353,77,246130,2016,2031,7,87500,16,1
1354,57,246120,2019,2034,4,50000,11,0
1355,48,246120,2010,2025,13,162500,16,1
1356,74,246070,2016,2031,7,87500,11,1
1357,64,246070,2019,2034,4,50000,11,0
1358,39,246070,2021,2036,2,25000,11,0
1359,66,245970,2020,2035,3,37500,11,0
1360,46,245810,2016,2031,7,87500,11,1
1361,66,245530,2019,2034,4,50000,11,0
1362,75,245130,2010,2025,13,162500,11,1
1363,56,245090,2016,2031,7,87500,11,1
1364,51,245060,2019,2034,4,50000,11,0
1365,50,245050,2016,2031,7,87500,11,1
1366,63,245040,2019,2034,4,50000,11,0
1367,72,244920,2010,2025,13,162500,11,1
1368,42,244830,2016,2031,7,87500,11,1
1369,48,244680,2019,2034,4,50000,12,0
1370,34,244660,2021,2036,2,25000,12,0
1371,65,244620,2020,2035,3,37500,11,0
1372,75,244250,2016,2031,7,87500,12,1
1373,66,243880,2019,2034,4,50000,13,0
1374,48,243820,2010,2025,13,162500,11,1
1375,39,243440,2016,2031,7,87500,11,1
1376,40,243370,2019,2034,4,50000,11,0
1377,50,243360,2021,2036,2,25000,11,0
1378,66,243150,2020,2035,3,37500,15,0
1379,35,243140,2016,2031,7,87500,11,1
1380,31,243100,2019,2034,4,50000,13,0
1381,51,243100,2010,2025,13,162500,14,1
1382,61,243040,2016,2031,7,87500,11,1
1383,37,243040,2019,2034,4,50000,11,0
1384,33,243030,2016,2031,7,87500,11,1
1385,63,242980,2019,2034,4,50000,12,0
1386,62,242930,2010,2025,13,162500,11,1
1387,54,242850,2016,2031,7,87500,11,1
1388,35,242830,2019,2034,4,50000,11,0
1389,47,242830,2010,2025,13,162500,11,1
1390,34,242790,2016,2031,7,87500,11,1
1391,55,242640,2019,2034,4,50000,11,0
1392,55,242580,2016,2031,7,87500,11,1
1393,48,242530,2019,2034,4,50000,11,0
1394,69,242160,2010,2025,13,162500,11,1
1395,62,242010,2016,2031,7,87500,11,1
1396,35,241740,2019,2034,4,50000,11,0
1397,67,241600,2010,2025,13,162500,12,1
1398,65,241570,2016,2031,7,87500,11,1
1399,59,241560,2019,2034,4,50000,16,0
1400,40,241460,2016,2031,7,87500,11,1
1401,73,241290,2019,2034,4,50000,11,0
1402,49,241120,2010,2025,13,162500,11,1
1403,46,240940,2016,2031,7,87500,16,1
1404,65,240770,2019,2034,4,50000,11,0
1405,45,240740,2010,2025,13,162500,12,1
1406,35,240570,2016,2031,7,87500,13,1
1407,40,240150,2019,2034,4,50000,12,0
1408,46,240150,2016,2031,7,87500,11,1
1409,50,240150,2019,2034,4,50000,11,0
1410,52,240150,2010,2025,13,162500,16,1
1411,51,240150,2016,2031,7,87500,12,1
1412,63,240140,2019,2034,4,50000,12,0
1413,42,240130,2010,2025,13,162500,11,1
1414,33,240130,2016,2031,7,87500,11,1
1415,54,240130,2019,2034,4,50000,11,0
1416,50,240130,2016,2031,7,87500,12,1
1417,49,240120,2019,2034,4,50000,11,0
1418,58,240120,2010,2025,13,162500,16,1
1419,60,240120,2016,2031,7,87500,16,1
1420,79,240110,2019,2034,4,50000,16,0
1421,48,240110,2010,2025,13,162500,11,1
1422,72,240110,2016,2031,7,87500,11,1
1423,58,240100,2019,2034,4,50000,16,0
1424,61,240100,2016,2031,7,87500,16,0
1425,50,240100,2019,2034,4,50000,11,0
1426,58,240100,2010,2025,13,162500,12,1
1427,80,240100,2016,2031,7,87500,11,1
1428,32,240100,2019,2034,4,50000,11,0
1429,71,240100,2019,2034,4,50000,11,0
1430,39,240090,2010,2025,13,162500,16,1
1431,44,240090,2016,2031,7,87500,11,1
1432,62,240090,2019,2034,4,50000,11,0
1433,47,240080,2016,2031,7,87500,11,1
1434,35,240080,2019,2034,4,50000,11,0
1435,35,240080,2010,2025,13,162500,11,1
1436,46,240080,2016,2031,7,87500,11,1
1437,62,240070,2019,2034,4,50000,11,0
1438,80,240070,2010,2025,13,162500,11,1
1439,61,240070,2016,2031,7,87500,11,1
1440,70,240070,2019,2034,4,50000,11,0
1441,65,240070,2016,2031,7,87500,14,1
1442,69,240070,2019,2034,4,50000,12,0
1443,64,240060,2010,2025,13,162500,13,1
1444,41,240060,2016,2031,7,87500,11,1
1445,84,240060,2019,2034,4,50000,11,0
1446,34,240060,2019,2034,4,50000,11,0
1447,60,240060,2010,2025,13,162500,11,1
1448,51,240060,2016,2031,7,87500,13,1
1449,35,240050,2019,2034,4,50000,16,0
1450,41,240050,2016,2031,7,87500,11,1
1451,62,240050,2019,2034,4,50000,11,0
1452,54,240050,2010,2025,13,162500,11,1
1453,70,240050,2016,2031,7,87500,16,1
1454,72,240050,2019,2034,4,50000,11,0
1455,42,240040,2010,2025,13,162500,11,1
1456,57,240040,2016,2031,7,87500,11,1
1457,60,240030,2019,2034,4,50000,16,0
1458,59,240030,2016,2031,7,87500,11,1
1459,43,240030,2019,2034,4,50000,11,0
1460,32,240010,2010,2025,13,162500,11,1
1461,42,239590,2016,2031,7,87500,12,1
1462,55,239520,2019,2034,4,50000,13,0
1463,34,239080,2019,2034,4,50000,16,0
1464,51,239070,2010,2025,13,162500,11,1
1465,62,238710,2016,2031,7,87500,13,1
1466,49,238580,2019,2034,4,50000,11,0
1467,44,237930,2016,2031,7,87500,12,1
1468,57,237610,2019,2034,4,50000,11,0
1469,45,237570,2010,2025,13,162500,16,1
1470,39,237570,2016,2031,7,87500,11,1
1471,54,237540,2019,2034,4,50000,11,0
1472,57,237540,2010,2025,13,162500,11,1
1473,47,237530,2016,2031,7,87500,11,1
1474,54,237520,2019,2034,4,50000,11,0
1475,55,237510,2016,2031,7,87500,16,1
1476,67,237250,2019,2034,4,50000,11,0
1477,78,237130,2010,2025,13,162500,13,1
1478,42,237070,2016,2031,7,87500,11,1
1479,32,237060,2019,2034,4,50000,11,0
1480,39,237030,2021,2036,2,25000,11,0
1481,56,236760,2020,2035,3,37500,11,0
1482,42,236700,2016,2031,7,87500,12,1
1483,48,236580,2019,2034,4,50000,11,0
1484,48,236510,2010,2025,13,162500,13,1
1485,70,236180,2016,2031,7,87500,11,1
1486,51,236020,2019,2034,4,50000,11,0
1487,63,235900,2021,2036,2,25000,11,0
1488,38,235460,2020,2035,3,37500,11,0
1489,55,235350,2016,2031,7,87500,11,1
1490,41,235260,2019,2034,4,50000,11,0
1491,64,235120,2010,2025,13,162500,11,1
1492,52,235100,2016,2031,7,87500,11,1
1493,44,235090,2019,2034,4,50000,11,0
1494,61,235060,2016,2031,7,87500,12,1
1495,52,235020,2019,2034,4,50000,11,0
1496,33,234980,2010,2025,13,162500,11,1
1497,66,234960,2016,2031,7,87500,11,1
1498,34,234760,2019,2034,4,50000,11,0
1499,44,234740,2021,2039,2,30000,11,0
1500,57,234190,2020,2038,3,45000,11,0
1501,82,234120,2015,2033,8,120000,11,1
1502,52,234070,2019,2037,4,60000,11,0
1503,32,234060,2014,2032,9,135000,13,1
1504,79,234050,2015,2033,8,120000,11,1
1505,43,234030,2019,2037,4,60000,11,0
1506,36,234030,2021,2039,2,30000,12,0
1507,62,234010,2020,2038,3,45000,11,0
1508,48,233970,2015,2033,8,120000,11,1
1509,41,233850,2019,2037,4,60000,11,0
1510,60,233590,2014,2032,9,135000,13,1
1511,72,233180,2015,2033,8,120000,11,1
1512,35,233170,2019,2037,4,60000,13,0
1513,36,233040,2015,2033,8,120000,11,1
1514,58,232520,2019,2037,4,60000,11,0
1515,31,232340,2014,2032,9,135000,16,0
1516,32,232010,2015,2033,8,120000,11,1
1517,31,231850,2019,2037,4,60000,11,0
1518,65,231810,2021,2039,2,30000,11,0
1519,65,231780,2020,2038,3,45000,11,0
1520,69,231660,2015,2033,8,120000,11,1
1521,37,231310,2019,2037,4,60000,11,0
1522,48,231300,2014,2032,9,135000,13,1
1523,39,231140,2015,2033,8,120000,11,1
1524,46,231130,2019,2037,4,60000,11,0
1525,40,231120,2021,2039,2,30000,16,0
1526,77,231120,2020,2038,3,45000,11,0
1527,38,231100,2015,2033,8,120000,12,1
1528,63,231080,2019,2037,4,60000,16,0
1529,35,231070,2014,2032,9,135000,13,1
1530,30,231070,2015,2033,8,120000,11,1
1531,51,231060,2019,2037,4,60000,11,0
1532,45,231030,2015,2033,8,120000,12,1
1533,45,230910,2019,2037,4,60000,12,0
1534,32,230650,2014,2032,9,135000,13,1
1535,38,230560,2015,2033,8,120000,11,1
1536,42,230550,2019,2037,4,60000,11,0
1537,51,230480,2014,2032,9,135000,13,1
1538,50,230420,2015,2033,8,120000,11,1
1539,45,230150,2019,2037,4,60000,11,0
1540,63,230130,2015,2033,8,120000,11,1
1541,49,230110,2019,2037,4,60000,16,0
1542,44,230080,2014,2032,9,135000,13,1
1543,43,230060,2015,2033,8,120000,11,1
1544,64,230060,2019,2037,4,60000,11,0
1545,47,230020,2014,2032,9,135000,13,1
1546,64,229720,2015,2033,8,120000,11,1
1547,52,229580,2019,2037,4,60000,12,0
1548,73,229580,2015,2033,8,120000,11,1
1549,35,229030,2019,2037,4,60000,11,0
1550,51,228970,2014,2032,9,135000,13,1
1551,52,228860,2015,2033,8,120000,16,1
1552,67,228850,2019,2037,4,60000,16,0
1553,35,228270,2014,2032,9,135000,13,1
1554,82,228210,2015,2033,8,120000,14,1
1555,81,228130,2019,2037,4,60000,11,0
1556,38,228130,2015,2033,8,120000,12,1
1557,40,228070,2019,2037,4,60000,11,0
1558,53,228070,2014,2032,9,135000,16,1
1559,32,228070,2015,2033,8,120000,11,1
1560,39,228070,2019,2037,4,60000,11,0
1561,30,228040,2014,2032,9,135000,16,1
1562,64,228040,2015,2033,8,120000,11,1
1563,66,227630,2019,2037,4,60000,11,0
1564,32,227530,2015,2033,8,120000,11,1
1565,63,227530,2019,2037,4,60000,11,0
1566,38,227400,2014,2032,9,135000,11,1
1567,56,227390,2015,2033,8,120000,11,1
1568,63,227080,2019,2037,4,60000,11,0
1569,38,226890,2014,2032,9,135000,13,1
1570,80,226860,2015,2033,8,120000,11,1
1571,40,226720,2019,2037,4,60000,16,0
1572,41,226650,2015,2033,8,120000,13,1
1573,65,226580,2019,2037,4,60000,11,0
1574,66,226570,2014,2032,9,135000,13,1
1575,70,226440,2015,2033,8,120000,11,1
1576,53,226360,2019,2037,4,60000,11,0
1577,64,226330,2019,2037,4,60000,13,0
1578,35,226250,2014,2032,9,135000,13,1
1579,33,225870,2015,2033,8,120000,12,1
1580,82,225480,2019,2037,4,60000,11,0
1581,48,225290,2015,2033,8,120000,11,1
1582,33,225150,2019,2037,4,60000,11,0
1583,42,225150,2014,2032,9,135000,13,1
1584,63,225150,2015,2033,8,120000,12,1
1585,39,225150,2019,2037,4,60000,11,0
1586,37,225140,2014,2032,9,135000,16,1
1587,34,225140,2015,2033,8,120000,11,1
1588,90,225140,2019,2037,4,60000,11,0
1589,71,225130,2015,2033,8,120000,12,1
1590,50,225130,2019,2037,4,60000,11,0
1591,37,225130,2014,2032,9,135000,13,1
1592,49,225120,2015,2033,8,120000,11,1
1593,52,225120,2019,2037,4,60000,11,0
1594,52,225120,2019,2037,4,60000,11,0
1595,57,225120,2014,2032,9,135000,13,1
1596,37,225120,2015,2033,8,120000,11,1
1597,37,225120,2019,2037,4,60000,11,0
1598,52,225110,2015,2033,8,120000,11,1
1599,65,225110,2019,2037,4,60000,11,0
1600,39,225110,2014,2032,9,135000,13,1
1601,80,225100,2015,2033,8,120000,11,1
1602,39,225090,2019,2037,4,60000,11,0
1603,42,225090,2014,2032,9,135000,13,1
1604,67,225090,2015,2033,8,120000,12,1
1605,44,225080,2019,2037,4,60000,11,0
1606,35,225080,2015,2033,8,120000,13,1
1607,35,225080,2019,2037,4,60000,11,0
1608,32,225070,2014,2032,9,135000,13,1
1609,61,225070,2015,2033,8,120000,11,1
1610,53,225070,2019,2037,4,60000,11,0
1611,37,225060,2019,2037,4,60000,12,0
1612,53,225060,2014,2032,9,135000,13,1
1613,59,225060,2015,2033,8,120000,11,1
1614,52,225050,2019,2037,4,60000,11,0
1615,46,225050,2015,2033,8,120000,11,1
1616,68,225040,2019,2037,4,60000,11,0
1617,58,225040,2014,2032,9,135000,13,1
1618,67,225040,2015,2033,8,120000,11,1
1619,45,225040,2019,2037,4,60000,16,0
1620,61,225030,2014,2032,9,135000,16,1
1621,58,225030,2015,2033,8,120000,11,1
1622,86,225030,2019,2037,4,60000,11,0
1623,32,225030,2015,2033,8,120000,11,1
1624,65,225030,2019,2037,4,60000,12,0
1625,51,225030,2014,2032,9,135000,16,1
1626,47,224850,2015,2033,8,120000,11,1
1627,46,224760,2019,2037,4,60000,11,0
1628,81,224610,2021,2039,2,30000,11,0
1629,39,224600,2020,2038,3,45000,11,0
1630,72,224290,2015,2033,8,120000,11,1
1631,59,224050,2019,2037,4,60000,11,0
1632,57,224010,2014,2032,9,135000,13,1
1633,51,223980,2015,2033,8,120000,11,1
1634,30,223760,2019,2037,4,60000,11,0
1635,68,223690,2021,2039,2,30000,11,0
1636,36,223560,2020,2038,3,45000,11,0
1637,78,223540,2015,2033,8,120000,11,1
1638,50,223040,2019,2037,4,60000,11,0
1639,36,222740,2014,2032,9,135000,13,1
1640,57,222650,2015,2033,8,120000,12,1
1641,65,222600,2019,2037,4,60000,11,0
1642,59,222450,2015,2033,8,120000,11,1
1643,42,222140,2019,2037,4,60000,11,0
1644,47,222120,2014,2032,9,135000,13,1
1645,67,222120,2015,2033,8,120000,11,1
1646,59,222100,2019,2037,4,60000,11,0
1647,63,222070,2021,2039,2,30000,11,0
1648,54,222070,2020,2038,3,45000,11,0
1649,63,222060,2015,2033,8,120000,11,1
1650,56,222060,2019,2037,4,60000,11,0
1651,58,222060,2014,2032,9,135000,13,1
1652,63,222050,2015,2033,8,120000,11,1
1653,40,222030,2019,2037,4,60000,11,0
1654,32,221730,2021,2039,2,30000,11,0
1655,71,221730,2020,2038,3,45000,11,0
1656,39,221640,2015,2033,8,120000,11,1
1657,62,221620,2019,2037,4,60000,12,0
1658,45,221450,2014,2032,9,135000,16,0
1659,78,221040,2015,2033,8,120000,11,1
1660,47,221020,2019,2037,4,60000,14,0
1661,34,220590,2015,2033,8,120000,11,1
1662,48,220590,2019,2037,4,60000,11,0
1663,30,220380,2014,2032,9,135000,13,1
1664,45,220290,2015,2033,8,120000,11,1
1665,33,220170,2019,2037,4,60000,11,0
1666,48,220170,2021,2039,2,30000,11,0
1667,41,220130,2020,2038,3,45000,11,0
1668,86,220120,2015,2033,8,120000,11,1
1669,43,220090,2019,2037,4,60000,11,0
1670,51,220050,2014,2032,9,135000,13,1
1671,34,220020,2015,2033,8,120000,11,1
1672,35,219980,2019,2037,4,60000,12,0
1673,49,219970,2021,2039,2,30000,11,0
1674,37,219580,2020,2038,3,45000,11,0
1675,30,219210,2015,2033,8,120000,16,1
1676,48,219190,2019,2037,4,60000,16,0
1677,39,219100,2014,2032,9,135000,14,1
1678,75,219070,2015,2033,8,120000,11,1
1679,50,219070,2019,2037,4,60000,11,0
1680,43,218840,2015,2033,8,120000,11,1
1681,63,218820,2019,2037,4,60000,12,0
1682,34,218730,2014,2032,9,135000,13,1
1683,61,218570,2015,2033,8,120000,11,1
1684,37,218550,2019,2037,4,60000,11,0
1685,62,218510,2014,2032,9,135000,13,1
1686,56,218410,2015,2033,8,120000,11,1
1687,63,218320,2019,2037,4,60000,11,0
1688,59,217940,2015,2033,8,120000,11,1
1689,66,217750,2019,2037,4,60000,11,0
1690,34,217640,2014,2032,9,135000,13,1
1691,66,217630,2015,2033,8,120000,11,1
1692,49,217610,2019,2037,4,60000,11,0
1693,55,217610,2014,2032,9,135000,11,1
1694,34,217610,2015,2033,8,120000,16,1
1695,71,217600,2019,2037,4,60000,11,0
1696,60,217600,2015,2033,8,120000,11,1
1697,64,217570,2019,2037,4,60000,11,0
1698,60,217210,2014,2032,9,135000,13,1
1699,46,217140,2015,2033,8,120000,11,1
1700,37,217030,2019,2037,4,60000,11,0
1701,78,216890,2014,2032,9,135000,13,1
1702,67,216780,2015,2033,8,120000,12,1
1703,63,216670,2019,2037,4,60000,11,0
1704,43,216600,2015,2033,8,120000,16,1
1705,53,216600,2019,2037,4,60000,11,0
1706,36,216570,2014,2032,9,135000,13,1
1707,54,216560,2015,2033,8,120000,13,1
1708,35,216370,2019,2037,4,60000,12,0
1709,44,216150,2014,2032,9,135000,13,1
1710,77,216130,2015,2033,8,120000,12,1
1711,41,216130,2019,2037,4,60000,12,0
1712,43,216120,2015,2033,8,120000,11,1
1713,50,216120,2019,2037,4,60000,11,0
1714,56,216120,2014,2032,9,135000,13,1
1715,50,216060,2015,2033,8,120000,11,1
1716,65,216060,2019,2037,4,60000,11,0
1717,47,216050,2014,2032,9,135000,13,1
1718,52,216030,2015,2033,8,120000,11,1
1719,72,216020,2019,2037,4,60000,14,0
1720,31,215530,2015,2033,8,120000,11,1
1721,46,215450,2019,2037,4,60000,16,0
1722,39,215130,2014,2032,9,135000,13,1
1723,38,215080,2015,2033,8,120000,12,1
1724,52,215080,2019,2037,4,60000,11,0
1725,60,215070,2019,2037,4,60000,11,0
1726,41,215040,2014,2032,9,135000,13,1
1727,34,215040,2015,2033,8,120000,11,1
1728,32,215040,2019,2037,4,60000,12,0
1729,66,214800,2015,2033,8,120000,11,1
1730,36,214650,2019,2037,4,60000,11,0
1731,39,214430,2014,2032,9,135000,13,1
1732,45,214390,2015,2033,8,120000,11,1
1733,56,214220,2019,2037,4,60000,12,0
1734,55,214160,2014,2032,9,135000,13,1
1735,43,213170,2015,2033,8,120000,11,1
1736,40,213090,2019,2037,4,60000,11,0
1737,40,213080,2015,2033,8,120000,16,1
1738,37,213060,2019,2037,4,60000,12,0
1739,35,213060,2014,2032,9,135000,13,1
1740,59,213040,2015,2033,8,120000,16,1
1741,47,213020,2019,2037,4,60000,11,0
1742,60,212640,2019,2037,4,60000,11,0
1743,35,212640,2014,2032,9,135000,13,1
1744,58,212630,2015,2033,8,120000,16,1
1745,61,212620,2019,2037,4,60000,11,0
1746,57,212600,2015,2033,8,120000,11,1
1747,60,212600,2019,2037,4,60000,16,0
1748,58,212580,2014,2032,9,135000,13,1
1749,61,212580,2015,2033,8,120000,11,1
1750,43,212570,2019,2037,4,60000,11,0
1751,39,212570,2014,2032,9,135000,14,1
1752,36,212560,2015,2033,8,120000,11,1
1753,33,212540,2019,2037,4,60000,11,0
1754,63,212540,2015,2033,8,120000,11,1
1755,67,212540,2019,2037,4,60000,11,0
1756,54,212530,2014,2032,9,135000,16,1
1757,67,212530,2015,2033,8,120000,11,1
1758,67,212520,2019,2037,4,60000,12,0
1759,35,212520,2019,2037,4,60000,11,0
1760,47,212520,2014,2032,9,135000,13,1
1761,55,212170,2015,2033,8,120000,11,1
1762,34,212110,2019,2037,4,60000,11,0
1763,46,211850,2015,2033,8,120000,11,1
1764,57,211770,2019,2037,4,60000,11,0
1765,62,211710,2014,2032,9,135000,16,1
1766,56,211680,2015,2033,8,120000,11,1
1767,43,211560,2019,2037,4,60000,16,0
1768,78,211160,2014,2032,9,135000,13,1
1769,44,211070,2015,2033,8,120000,16,1
1770,44,210940,2019,2037,4,60000,12,0
1771,58,210930,2015,2033,8,120000,11,1
1772,45,210570,2019,2037,4,60000,11,0
1773,52,210510,2014,2032,9,135000,13,1
1774,41,210460,2015,2033,8,120000,11,1
1775,44,210450,2019,2037,4,60000,12,0
1776,70,210400,2021,2039,2,30000,12,0
1777,53,210160,2020,2038,3,45000,12,0
1778,56,210150,2015,2033,8,120000,11,1
1779,43,210150,2019,2037,4,60000,11,0
1780,55,210150,2014,2032,9,135000,13,1
1781,60,210150,2015,2033,8,120000,13,1
